word	true_class	pred_class
High	B-OBRA	B-ORGANIZACAO
Time	I-OBRA	I-ORGANIZACAO
Oscar	B-OUTRO	B-ORGANIZACAO
Rec	B-LOCAL	B-ORGANIZACAO
##ivil	B-LOCAL	B-ORGANIZACAO
-	B-LOCAL	B-ORGANIZACAO
MG	B-LOCAL	B-ORGANIZACAO
na	I-LOCAL	O
Internet	I-LOCAL	B-LOCAL
Mer	B-LOCAL	B-ORGANIZACAO
##it	B-LOCAL	B-ORGANIZACAO
Pla	I-LOCAL	I-ORGANIZACAO
##za	I-LOCAL	I-ORGANIZACAO
Hotel	I-LOCAL	I-ORGANIZACAO
Walter	I-PESSOA	B-PESSOA
Lei	B-OBRA	B-ABSTRACCAO
da	I-OBRA	I-ACONTECIMENTO
Gra	I-OBRA	I-ACONTECIMENTO
##tu	I-OBRA	I-ACONTECIMENTO
##idade	I-OBRA	I-ACONTECIMENTO
Universal	I-OBRA	I-ACONTECIMENTO
Fis	I-OBRA	I-ABSTRACCAO
##cal	I-OBRA	I-ABSTRACCAO
##ização	I-OBRA	I-ABSTRACCAO
Ins	B-ORGANIZACAO	B-COISA
##itu	B-ORGANIZACAO	B-COISA
##to	B-ORGANIZACAO	O
de	I-ORGANIZACAO	O
desenho	I-ORGANIZACAO	O
industrial	I-ORGANIZACAO	O
Brasil	B-LOCAL	B-ORGANIZACAO
O	B-OBRA	B-ABSTRACCAO
tal	I-OBRA	I-ABSTRACCAO
##her	I-OBRA	I-ABSTRACCAO
contemporâneo	I-OBRA	I-ABSTRACCAO
A	B-OBRA	B-ABSTRACCAO
imagem	I-OBRA	I-ABSTRACCAO
corpo	I-OBRA	I-ABSTRACCAO
##rativa	I-OBRA	I-ABSTRACCAO
DE	B-OBRA	B-PESSOA
SO	I-OBRA	I-PESSOA
##U	I-OBRA	I-PESSOA
##Z	I-OBRA	I-PESSOA
##A	I-OBRA	I-PESSOA
,	I-OBRA	O
Pedro	I-OBRA	B-PESSOA
Luiz	I-OBRA	I-PESSOA
Pereira	I-OBRA	I-PESSOA
-	I-OBRA	O
D	I-OBRA	B-ORGANIZACAO
&	I-OBRA	B-ORGANIZACAO
I	I-OBRA	B-ORGANIZACAO
No	I-OBRA	B-ORGANIZACAO
.	I-OBRA	O
20	I-OBRA	I-LOCAL
-	I-OBRA	O
O	I-OBRA	B-ORGANIZACAO
##UT	I-OBRA	B-TEMPO
1990	I-OBRA	B-TEMPO
Autor	B-PESSOA	O
O	O	B-LOCAL
Egito	B-LOCAL	I-LOCAL
Idade	B-ABSTRACCAO	B-LOCAL
Média	I-ABSTRACCAO	I-LOCAL
Moderna	B-ABSTRACCAO	B-TEMPO
Canal	B-ACONTECIMENTO	B-LOCAL
Estado	B-COISA	B-ORGANIZACAO
de	I-COISA	I-ORGANIZACAO
São	I-COISA	I-ORGANIZACAO
Paulo	I-COISA	I-ORGANIZACAO
Ger	O	I-ABSTRACCAO
CON	B-ABSTRACCAO	O
##ST	B-ABSTRACCAO	O
##R	B-ABSTRACCAO	O
##U	B-ABSTRACCAO	O
##Ç	B-ABSTRACCAO	O
##ÃO	B-ABSTRACCAO	O
C	I-ABSTRACCAO	O
##IV	I-ABSTRACCAO	O
##IL	I-ABSTRACCAO	O
40	B-OBRA	I-OBRA
##6	B-OBRA	I-OBRA
/	B-OBRA	I-OBRA
69	B-OBRA	I-OBRA
de	I-TEMPO	B-TEMPO
.	O	B-LOCAL
Santos	B-LOCAL	I-LOCAL
-	I-LOCAL	O
Tol	O	B-ORGANIZACAO
40	O	B-VALOR
Constituição	B-OBRA	B-ORGANIZACAO
do	O	I-ORGANIZACAO
Ministério	B-ORGANIZACAO	I-ORGANIZACAO
Sag	B-ABSTRACCAO	B-LOCAL
##res	B-ABSTRACCAO	B-LOCAL
Sag	B-LOCAL	B-ORGANIZACAO
##res	B-LOCAL	B-ORGANIZACAO
Sacra	B-ABSTRACCAO	B-OBRA
Saturn	I-ABSTRACCAO	I-OBRA
##i	I-ABSTRACCAO	I-OBRA
Sag	B-LOCAL	B-ORGANIZACAO
